id,value
id_0,6.5944145339744455
id_1,18.29966558054451
id_2,23.289371632850973
id_3,7.80251168578997
id_4,27.114960602373703
id_5,22.12375549963248
id_6,23.790557872555873
id_7,30.497068226098833
id_8,16.985471316930674
id_9,59.65762674011245
id_10,11.564409905694033
id_11,9.470265684003515
id_12,63.92638661837445
id_13,53.261429620743684
id_14,22.098504305701862
id_15,12.167819185840687
id_16,32.472909612561736
id_17,66.5029065318581
id_18,-0.5227090513755757
id_19,17.220507372739743
id_20,41.62968788950205
id_21,72.1087956291079
id_22,9.414286994315942
id_23,17.58944935755808
id_24,14.811186940598258
id_25,37.67811395255819
id_26,14.575781989011197
id_27,69.93377539593055
id_28,7.196819566877313
id_29,55.25158677807841
id_30,24.369660720726735
id_31,8.498553149113803
id_32,2.620008531440968
id_33,18.867302002588886
id_34,27.8659931942521
id_35,37.478483244145764
id_36,43.36747173238195
id_37,30.002703564217303
id_38,42.31293030595681
id_39,35.21408604451008
id_40,7.91653484422585
id_41,41.34272538699179
id_42,30.476711251518516
id_43,50.87451655042861
id_44,17.525090812618462
id_45,35.27657171442755
id_46,24.66878227038802
id_47,9.515960018214805
id_48,26.532250533744893
id_49,32.19676207662583
id_50,20.04200309272444
id_51,8.010852562350134
id_52,20.65466921546723
id_53,52.70752895983218
id_54,16.182065248197212
id_55,36.494395157930775
id_56,32.80291224457163
id_57,20.791404706568816
id_58,57.51356206650699
id_59,22.705633830548045
id_60,14.236392867422195
id_61,41.497663705871716
id_62,12.333355618201425
id_63,48.33402285562105
id_64,14.075168525179702
id_65,15.15335811375528
id_66,14.588540617708528
id_67,-1.0134740994596596
id_68,43.85635236284064
id_69,29.163229725554796
id_70,20.11503067733044
id_71,41.78297055737027
id_72,60.87558995959037
id_73,5.403052846089274
id_74,16.28050736171574
id_75,3.689734429811679
id_76,40.85401467440139
id_77,14.047233849882577
id_78,21.73048632212761
id_79,20.970536975817925
id_80,23.75409148967304
id_81,36.316075207560885
id_82,21.742844196902492
id_83,92.52866472576899
id_84,37.27183865727458
id_85,27.822772343538354
id_86,22.068477417858595
id_87,33.75563345458115
id_88,23.570893881918884
id_89,19.828556974965387
id_90,28.48963438724057
id_91,41.56281429392808
id_92,4.661521011788174
id_93,38.79804380613369
id_94,45.8488376847626
id_95,16.385002908573597
id_96,31.77288106332473
id_97,12.907981472234553
id_98,23.547988187230235
id_99,4.483613829408167
id_100,18.07540393390761
id_101,26.34802284927067
id_102,14.055581137403566
id_103,15.915397469191547
id_104,23.909748021409698
id_105,39.69338967408421
id_106,31.824079349577445
id_107,6.399098672152654
id_108,6.111618991849858
id_109,78.31427666046925
id_110,48.103186265022536
id_111,17.124297792693277
id_112,28.117348042616253
id_113,15.141860129728265
id_114,13.45797436259541
id_115,25.02720093467437
id_116,26.669974189971544
id_117,10.150013418505301
id_118,17.494555808620714
id_119,19.352836200431142
id_120,80.38652014982256
id_121,25.347329062203137
id_122,37.563328814667685
id_123,25.26062618469667
id_124,7.368441999936509
id_125,38.229543002063245
id_126,9.03044699258054
id_127,21.95434676139953
id_128,29.089195482032157
id_129,62.720698641430964
id_130,21.59314207300577
id_131,23.151279617658435
id_132,58.73599657097342
id_133,15.316572250841883
id_134,14.215572265907994
id_135,2.6876192854689798
id_136,12.519428270553343
id_137,58.59904203590338
id_138,20.353188035660914
id_139,5.122536903956867
id_140,29.026448996047698
id_141,25.250454889641333
id_142,45.53306153883428
id_143,31.034501173223603
id_144,18.221602202324824
id_145,26.01190270758312
id_146,12.221717932547026
id_147,52.14890916219808
id_148,23.70979316085381
id_149,38.65019107499024
id_150,10.35500971822501
id_151,8.007539262665286
id_152,23.703926958254986
id_153,6.402314883433606
id_154,15.139840652252724
id_155,41.35443636267703
id_156,7.6622538407414575
id_157,36.198094998864555
id_158,11.100703676611577
id_159,18.550152773504447
id_160,41.51260388474076
id_161,19.4273434610516
id_162,13.335626667050029
id_163,7.901129660453
id_164,52.73695103558877
id_165,31.14607502347662
id_166,-0.18643118066717257
id_167,16.354257904820837
id_168,63.878922399290836
id_169,14.224772841940172
id_170,63.615486823883096
id_171,39.477215689446254
id_172,26.88667290959803
id_173,20.563355345286038
id_174,60.98884157740797
id_175,25.401619515046942
id_176,20.826772533046793
id_177,37.62971624345109
id_178,12.527013294512647
id_179,30.97535678363363
id_180,16.76961186203617
id_181,12.054958704644815
id_182,55.62794466830009
id_183,46.31509082493622
id_184,15.726464667171657
id_185,34.97431871864825
id_186,26.22239645547431
id_187,69.18044421245752
